,city,state,geoid,streets_per_node_avg,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,circuity_avg,cluster_coeff_avg,cluster_coeff_weighted_avg,degree_centrality_avg,D_len,D_number,H_len,H_number,EH_number,EH_len,edge_density_km,edge_length_avg,entropy,dead_end_proportion,intersect_3way_proportion,intersect_4way_proportion,intersect_density_km,k_avg,node_density_km,pagerank_max,pagerank_min,self_loop_proportion,street_density_km,street_length_avg,dead_end_count,edge_length_total,intersect_3way_count,intersect_4way_count,intersection_count,edge_count,node_count,street_length_total,street_segments_count,area_km
Austria,Austria,Austria,Austria,2.567708141,2.729665483,0.033851372,1.119612173,0.05210193,0.000419501,0.000310275,0.698130224,0.582224892,1.480720057,1.285108991,0.445280611,0.512903582,4255.699909,211.4209945,0.012285587,0.248131115,0.666467317,0.07201121,6.285024754,4.800688775,8.43854272,0.000286432,0.00000977,0.002757497,2229.110743,209.0499923,36470,76962542,106455,13556,122433,384471,158903,40779980.17,207574,19318.22
Belgium,Belgium,Belgium,Belgium,2.683072005,2.621565014,0.039709421,1.063566714,0.056553114,0.000791895,0.000483362,0.710174632,0.596993713,1.522660873,1.318484074,0.482832955,0.558711348,7563.242409,182.2926515,0.018953406,0.197155066,0.700225956,0.086205963,14.59380898,4.719187367,18.25312228,0.000488565,1.54E-05,0.006304209,4175.289405,176.9490607,34969,79533286,132188,16656,152154,441045,187123,44103899.14,253377,10658.076
Czech Republic,Czech Republic,Czech Republic,Czech Republic,2.581659795,2.756624803,0.035274722,1.082601766,0.058251184,0.000838737,0.00105256,0.681769459,0.507811116,1.442230181,1.105614978,0.422151074,0.551588835,3394.348372,198.9843168,0.012213299,0.249934787,0.648177421,0.088915981,5.509297743,4.817068686,7.366080067,0.000953665,3.31E-05,0.003360018,1806.236437,197.8352789,40229,72148372,104505,16570,123178,396094,163408,38578792.19,212566,19358.57
Denmark,Denmark,Denmark,Denmark,2.396444625,2.720274563,0.045171882,1.071608537,0.034437763,0.000445339,0.000141069,0.709425822,0.525468024,1.434889288,1.093775433,0.397348723,0.520394335,5207.286942,187.4856281,0.042601596,0.337331389,0.584383152,0.069422118,8.704898988,4.505854466,13.13862585,0.000152152,0.0000047,0.011997726,2762.343479,184.4668801,53688,61897020,91971,12069,105466,358085,159154,32898310.1,192787,11687.56
Estonia,Estonia,Estonia,Estonia,2.594454331,2.754255941,0.031655234,1.082351227,0.053457174,0.001651608,0.001833798,0.606529746,0.594931251,1.266060937,1.298198523,0.533411351,0.518197429,3665.616813,269.311831,0.025141683,0.252198024,0.63387288,0.10405316,5.323632488,4.795468211,7.278388434,0.001393232,0.000058628,0.004172102,1909.522343,258.9426608,6759,19785534,18672,2725,21659,68230,28418,10335578.07,37310,7399.3266
Finland,Finland,Finland,Finland,2.367342999,2.696146533,0.02868401,1.109709763,0.036588297,0.000371332,0.000246979,0.724467304,0.646965687,1.512400064,1.380782178,0.49442724,0.540827613,2724.286912,334.5668031,0.004265995,0.354610137,0.555388752,0.081140141,2.663624505,4.447657848,4.061720814,0.000222734,8.33E-06,0.010938658,1418.555142,323.8052963,51913,103739258,83271,13265,98054,332216,149967,53900737.6,180220,40983.73
France,France,France,France,2.625058093,2.60775773,0.044564884,1.093692805,0.066336704,0.000582396,0.000390435,0.720189659,0.640815653,1.520474195,1.348226641,0.487123273,0.549188611,5191.417519,196.6726101,0.013389025,0.219170709,0.695244173,0.071019292,10.09076551,4.630133836,12.93548969,0.000390592,1.28E-05,0.006408216,2807.060733,186.5139661,386553,743471578,1214912,132185,1375503,4042062,1762056,401932485.9,2320892,152538.2289
Germany,Germany,Germany,Germany,2.5983035,2.755624363,0.039991969,1.078706553,0.053223976,0.000622788,0.000488898,0.688569599,0.53900013,1.516957036,1.234200163,0.433988291,0.532899286,4842.959248,180.0726801,0.018274868,0.237999908,0.662417309,0.084226993,9.428471561,4.866764105,12.32825055,0.000427346,1.52E-05,0.007247461,2587.56418,178.2569992,440499,806224633,1245890,167903,1443001,4587201,1883500,428710146.5,2469754,195649.6043
Greece,Greece,Greece,Greece,2.862535479,2.838072969,0.045177583,1.113048792,0.045480101,0.000362027,0.000773619,0.684386628,0.508806486,1.435281992,1.104005946,0.428822336,0.557246971,4458.765398,149.0408246,0.033461678,0.1642542,0.644294727,0.184475645,11.19726562,5.160353876,13.26753235,0.000689041,2.23E-05,0.000649202,2443.882119,144.7471008,32367,71336564,142054,50806,194975,565159,227342,40109566.41,334546,15192.547
Italy,Italy,Italy,Italy,2.691096547,2.512822539,0.050534041,1.122274092,0.071991496,0.000611658,0.000830994,0.725009427,0.661986498,1.528465557,1.392438906,0.534115397,0.586765176,5667.709111,173.3702038,0.060172221,0.200391705,0.687256813,0.098119318,13.4795899,4.479344701,16.91478923,0.000849472,2.79E-05,0.002487342,3150.905907,159.5839454,194849,338336671,663375,95146,772890,2145533,967739,188917097.4,1299633,64961.2771
