,city,state,geoid,area_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,circuity_avg,cluster_coeff_avg,cluster_coeff_weighted_avg,degree_centrality_avg,D_len,D_number,H_len,H_number,EH_number,EH_len,edge_density_km,edge_length_avg,edge_length_total,entropy,dead_end_count,dead_end_proportion,intersect_3way_count,intersect_3way_proportion,intersect_4way_count,intersect_4way_proportion,intersection_count,intersect_density_km,k_avg,edge_count,node_count,node_density_km,pagerank_max,pagerank_min,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg,city1
0,AUT_Vienna,Austria,AT001,9181.98,2.722279146,0.038383087,1.067851576,0.058931858,0.000305502,6.52E-05,0.690900042,0.512082945,1.519764562,1.159346582,0.386999397,0.507309874,3565.429138,176.7761148,32737699,0.007250415,14126,0.187486728,51367,0.681766299,8486,0.11263007,61218,6.66718943,4.915932257,185193,75344,8.205637564,6.35E-05,2.00E-06,0.00190612,1942.487922,173.4670809,17835885.25,102820,2.728671162,Vienna
1,AUT_Graz,Austria,AT002,1201.97,2.666094271,0.033146721,1.119958322,0.040742028,0.000329241,0.0003172,0.711500544,0.65617989,1.487645434,1.435707287,0.496720632,0.514689998,6040.47292,221.2747542,7260467,0.016442759,4245,0.295119577,8964,0.623192436,981,0.068200779,10139,8.435318685,4.562291435,32812,14384,11.96702081,0.000271515,1.06E-05,0.001950506,3148.735641,217.2858984,3784685.778,17418,2.470175195,Graz
2,AUT_Linz,Austria,AT003,3594.3,2.766370522,0.034499967,1.128692162,0.046557479,0.000294443,0.000137722,0.701177874,0.636119718,1.415291904,1.321453016,0.448796197,0.480666067,5333.175922,230.8771149,19169034,0.00287992,9617,0.27695542,22738,0.654820873,1877,0.054054832,25107,6.985226609,4.782110356,83027,34724,9.660851904,0.000131779,4.32E-06,0.002360678,2732.698534,227.506505,9822138.339,43173,2.489085359,Linz
3,AUT_Salzburg,Austria,AT004,1375.43,2.726174822,0.034632735,1.115587292,0.055274875,0.000777569,0.000329404,0.687054589,0.574704852,1.42415145,1.250320349,0.441308224,0.502662976,4757.545607,190.3170449,6543670,0.002270244,3797,0.262786352,9658,0.66841996,841,0.05820472,10652,7.744487179,4.759222091,34383,14449,10.50507841,0.000285324,1.04E-05,0.004653462,2484.862314,187.3255233,3417754.173,18245,2.526264793,Salzburg
4,AUT_Innsbruck,Austria,AT005,2131.6,2.71428454,0.034835842,1.134600859,0.054433346,0.00041506,0.000595032,0.681712822,0.52486522,1.529615123,1.242843009,0.438669051,0.539887025,1847.407045,201.3155185,3937932,0.019948278,1848,0.227894932,5513,0.679861882,604,0.07448514,6261,2.93723025,4.82451597,19561,8109,3.80418465,0.000594597,1.86E-05,0.002351618,1004.294048,202.3970116,2140753.192,10577,2.607843137,Innsbruck
5,AUT_Klagenfurt,Austria,AT006,1832.94,2.782789596,0.027609881,1.150982827,0.056671992,0.000395193,0.000417092,0.716435471,0.589396726,1.507851869,1.3009837,0.459190164,0.532205551,3990.168824,247.9654194,7313740,0.024921908,2837,0.238543681,8215,0.690742454,767,0.064491718,9056,4.940696368,4.96006054,29495,11893,6.488482984,0.000371875,1.27E-05,0.003322597,2061.585996,246.3179346,3778763.435,15341,2.584209199,Klagenfurt
0,BEL_russels,Belgium,BE001,3263.84,2.575159438,0.044719395,1.058175005,0.063463521,0.000711264,7.60E-05,0.683031913,0.58778283,1.475565007,1.310163501,0.437343321,0.4925557,7658.587488,173.5331162,24996404,0.007183404,10661,0.173172198,43464,0.706008479,6040,0.098110878,50902,15.59573999,4.679564024,144044,61563,18.86213785,9.77E-05,2.44E-06,0.005623282,4266.211336,164.9380037,13924231.21,84421,2.73976252,russels
1,BEL_Antwerp,Belgium,BE002,1189.92,2.609352417,0.035569653,1.058834084,0.056453867,0.000578849,0.000189235,0.680692406,0.562694502,1.468883411,1.247795504,0.450047096,0.529787703,8402.278753,168.4419357,9998039,0.013931564,4369,0.174432068,17572,0.701561065,2672,0.106679443,20678,17.37763883,4.739569609,59356,25047,21.04931424,0.000213362,6.02E-06,0.005256419,4775.434908,164.7975844,5682385.506,34481,2.751666866,Antwerp
2,BEL_Gent,Belgium,BE003,1017.77,2.614093353,0.036302373,1.069761556,0.060136663,0.000669247,0.000240444,0.700165982,0.592244529,1.507198774,1.302041345,0.469612148,0.543607049,8316.232963,177.7369737,8464012,0.010342281,3729,0.18735869,14435,0.725267548,1485,0.074611868,16174,15.89160616,4.785308747,47621,19903,19.55549879,0.000293621,7.58E-06,0.016148338,4610.230324,173.5841855,4692154.117,27031,2.693563784,Gent
3,BEL_Charleroi,Belgium,BE004,1096.59,2.621213795,0.039832951,1.063715109,0.06049479,0.001025541,0.000310597,0.70985266,0.578496753,1.559395105,1.311391379,0.462863618,0.550398052,6415.990895,191.3646155,7035711,0.001602029,2661,0.172938195,11200,0.727887177,1250,0.081237408,12726,11.60506662,4.77883928,36766,15387,14.03168003,0.000374883,9.79E-06,0.004297449,3563.263582,186.5126115,3907439.211,20950,2.726457399,Charleroi
